name;category;date;y;z;color
0-9 ans;hospitalisations;22-03-2020;39;37;"#F0B813"
0-9 ans;hospitalisations;29-03-2020;71;67;"#F0B813"
0-9 ans;hospitalisations;05-04-2020;88;84;"#EEA918"
0-9 ans;hospitalisations;12-04-2020;86;82;"#EEA918"
0-9 ans;hospitalisations;19-04-2020;100;95;"#EEA918"
0-9 ans;hospitalisations;26-04-2020;92;87;"#ED9D1D"
0-9 ans;hospitalisations;03-05-2020;80;76;"#ED9D1D"
0-9 ans;hospitalisations;10-05-2020;67;64;"#EC9221"
0-9 ans;hospitalisations;17-05-2020;55;52;"#EC9221"
0-9 ans;hospitalisations;24-05-2020;47;45;"#EB8626"
0-9 ans;hospitalisations;31-05-2020;40;38;"#EB8626"
0-9 ans;hospitalisations;07-06-2020;38;36;"#EB8626"
0-9 ans;hospitalisations;14-06-2020;33;31;"#EA7A2A"
0-9 ans;hospitalisations;21-06-2020;28;27;"#EA7A2A"
0-9 ans;hospitalisations;28-06-2020;27;26;"#E96F2E"
0-9 ans;hospitalisations;05-07-2020;19;18;"#E96F2E"
0-9 ans;hospitalisations;12-07-2020;28;27;"#E96F2E"
0-9 ans;hospitalisations;19-07-2020;25;24;"#E86333"
0-9 ans;hospitalisations;26-07-2020;29;28;"#E86333"
0-9 ans;hospitalisations;02-08-2020;27;26;"#E75737"
0-9 ans;hospitalisations;09-08-2020;28;27;"#ffffff"
0-9 ans;hospitalisations;16-08-2020;24;23;"#3498db"
10-19 ans;hospitalisations;22-03-2020;22;19;"#F0B813"
10-19 ans;hospitalisations;29-03-2020;51;44;"#F0B813"
10-19 ans;hospitalisations;05-04-2020;86;75;"#EEA918"
10-19 ans;hospitalisations;12-04-2020;100;87;"#EEA918"
10-19 ans;hospitalisations;19-04-2020;98;85;"#EEA918"
10-19 ans;hospitalisations;26-04-2020;87;76;"#ED9D1D"
10-19 ans;hospitalisations;03-05-2020;91;79;"#ED9D1D"
10-19 ans;hospitalisations;10-05-2020;78;68;"#EC9221"
10-19 ans;hospitalisations;17-05-2020;63;55;"#EC9221"
10-19 ans;hospitalisations;24-05-2020;53;46;"#EB8626"
10-19 ans;hospitalisations;31-05-2020;45;39;"#EB8626"
10-19 ans;hospitalisations;07-06-2020;49;43;"#EB8626"
10-19 ans;hospitalisations;14-06-2020;39;34;"#EA7A2A"
10-19 ans;hospitalisations;21-06-2020;37;32;"#EA7A2A"
10-19 ans;hospitalisations;28-06-2020;34;30;"#E96F2E"
10-19 ans;hospitalisations;05-07-2020;30;26;"#E96F2E"
10-19 ans;hospitalisations;12-07-2020;24;21;"#E96F2E"
10-19 ans;hospitalisations;19-07-2020;26;23;"#E86333"
10-19 ans;hospitalisations;26-07-2020;30;26;"#E86333"
10-19 ans;hospitalisations;02-08-2020;31;27;"#E75737"
10-19 ans;hospitalisations;09-08-2020;31;27;"#ffffff"
10-19 ans;hospitalisations;16-08-2020;26;23;"#3498db"
20-29 ans;hospitalisations;22-03-2020;29;104;"#F0B813"
20-29 ans;hospitalisations;29-03-2020;74;260;"#F0B813"
20-29 ans;hospitalisations;05-04-2020;100;353;"#EEA918"
20-29 ans;hospitalisations;12-04-2020;99;351;"#EEA918"
20-29 ans;hospitalisations;19-04-2020;86;302;"#EEA918"
20-29 ans;hospitalisations;26-04-2020;76;267;"#ED9D1D"
20-29 ans;hospitalisations;03-05-2020;68;240;"#ED9D1D"
20-29 ans;hospitalisations;10-05-2020;57;202;"#EC9221"
20-29 ans;hospitalisations;17-05-2020;49;174;"#EC9221"
20-29 ans;hospitalisations;24-05-2020;45;159;"#EB8626"
20-29 ans;hospitalisations;31-05-2020;39;137;"#EB8626"
20-29 ans;hospitalisations;07-06-2020;35;123;"#EB8626"
20-29 ans;hospitalisations;14-06-2020;32;114;"#EA7A2A"
20-29 ans;hospitalisations;21-06-2020;32;113;"#EA7A2A"
20-29 ans;hospitalisations;28-06-2020;29;104;"#E96F2E"
20-29 ans;hospitalisations;05-07-2020;29;103;"#E96F2E"
20-29 ans;hospitalisations;12-07-2020;27;96;"#E96F2E"
20-29 ans;hospitalisations;19-07-2020;26;92;"#E86333"
20-29 ans;hospitalisations;26-07-2020;24;84;"#E86333"
20-29 ans;hospitalisations;02-08-2020;24;86;"#E75737"
20-29 ans;hospitalisations;09-08-2020;24;86;"#ffffff"
20-29 ans;hospitalisations;16-08-2020;25;88;"#3498db"
30-39 ans;hospitalisations;22-03-2020;32;289;"#F0B813"
30-39 ans;hospitalisations;29-03-2020;81;727;"#F0B813"
30-39 ans;hospitalisations;05-04-2020;100;901;"#EEA918"
30-39 ans;hospitalisations;12-04-2020;99;896;"#EEA918"
30-39 ans;hospitalisations;19-04-2020;82;737;"#EEA918"
30-39 ans;hospitalisations;26-04-2020;68;613;"#ED9D1D"
30-39 ans;hospitalisations;03-05-2020;59;530;"#ED9D1D"
30-39 ans;hospitalisations;10-05-2020;49;440;"#EC9221"
30-39 ans;hospitalisations;17-05-2020;41;365;"#EC9221"
30-39 ans;hospitalisations;24-05-2020;35;312;"#EB8626"
30-39 ans;hospitalisations;31-05-2020;29;263;"#EB8626"
30-39 ans;hospitalisations;07-06-2020;28;250;"#EB8626"
30-39 ans;hospitalisations;14-06-2020;25;228;"#EA7A2A"
30-39 ans;hospitalisations;21-06-2020;26;231;"#EA7A2A"
30-39 ans;hospitalisations;28-06-2020;23;207;"#E96F2E"
30-39 ans;hospitalisations;05-07-2020;21;191;"#E96F2E"
30-39 ans;hospitalisations;12-07-2020;18;163;"#E96F2E"
30-39 ans;hospitalisations;19-07-2020;18;166;"#E86333"
30-39 ans;hospitalisations;26-07-2020;16;146;"#E86333"
30-39 ans;hospitalisations;02-08-2020;14;130;"#E75737"
30-39 ans;hospitalisations;09-08-2020;15;133;"#ffffff"
30-39 ans;hospitalisations;16-08-2020;14;130;"#3498db"
40-49 ans;hospitalisations;22-03-2020;27;521;"#F0B813"
40-49 ans;hospitalisations;29-03-2020;74;1451;"#F0B813"
40-49 ans;hospitalisations;05-04-2020;100;1958;"#EEA918"
40-49 ans;hospitalisations;12-04-2020;94;1833;"#EEA918"
40-49 ans;hospitalisations;19-04-2020;75;1476;"#EEA918"
40-49 ans;hospitalisations;26-04-2020;62;1223;"#ED9D1D"
40-49 ans;hospitalisations;03-05-2020;52;1009;"#ED9D1D"
40-49 ans;hospitalisations;10-05-2020;44;852;"#EC9221"
40-49 ans;hospitalisations;17-05-2020;37;720;"#EC9221"
40-49 ans;hospitalisations;24-05-2020;32;621;"#EB8626"
40-49 ans;hospitalisations;31-05-2020;27;535;"#EB8626"
40-49 ans;hospitalisations;07-06-2020;25;493;"#EB8626"
40-49 ans;hospitalisations;14-06-2020;22;429;"#EA7A2A"
40-49 ans;hospitalisations;21-06-2020;20;394;"#EA7A2A"
40-49 ans;hospitalisations;28-06-2020;19;363;"#E96F2E"
40-49 ans;hospitalisations;05-07-2020;17;324;"#E96F2E"
40-49 ans;hospitalisations;12-07-2020;15;293;"#E96F2E"
40-49 ans;hospitalisations;19-07-2020;14;274;"#E86333"
40-49 ans;hospitalisations;26-07-2020;13;256;"#E86333"
40-49 ans;hospitalisations;02-08-2020;12;235;"#E75737"
40-49 ans;hospitalisations;09-08-2020;12;235;"#ffffff"
40-49 ans;hospitalisations;16-08-2020;12;234;"#3498db"
50-59 ans;hospitalisations;22-03-2020;24;1004;"#F0B813"
50-59 ans;hospitalisations;29-03-2020;70;2916;"#F0B813"
50-59 ans;hospitalisations;05-04-2020;100;4190;"#EEA918"
50-59 ans;hospitalisations;12-04-2020;94;3945;"#EEA918"
50-59 ans;hospitalisations;19-04-2020;79;3314;"#EEA918"
50-59 ans;hospitalisations;26-04-2020;65;2735;"#ED9D1D"
50-59 ans;hospitalisations;03-05-2020;57;2403;"#ED9D1D"
50-59 ans;hospitalisations;10-05-2020;49;2052;"#EC9221"
50-59 ans;hospitalisations;17-05-2020;42;1759;"#EC9221"
50-59 ans;hospitalisations;24-05-2020;37;1539;"#EB8626"
50-59 ans;hospitalisations;31-05-2020;31;1304;"#EB8626"
50-59 ans;hospitalisations;07-06-2020;28;1183;"#EB8626"
50-59 ans;hospitalisations;14-06-2020;24;1015;"#EA7A2A"
50-59 ans;hospitalisations;21-06-2020;22;917;"#EA7A2A"
50-59 ans;hospitalisations;28-06-2020;20;835;"#E96F2E"
50-59 ans;hospitalisations;05-07-2020;18;746;"#E96F2E"
50-59 ans;hospitalisations;12-07-2020;16;657;"#E96F2E"
50-59 ans;hospitalisations;19-07-2020;15;626;"#E86333"
50-59 ans;hospitalisations;26-07-2020;13;540;"#E86333"
50-59 ans;hospitalisations;02-08-2020;12;492;"#E75737"
50-59 ans;hospitalisations;09-08-2020;12;490;"#ffffff"
50-59 ans;hospitalisations;16-08-2020;11;472;"#3498db"
60-69 ans;hospitalisations;22-03-2020;23;1417;"#F0B813"
60-69 ans;hospitalisations;29-03-2020;67;4057;"#F0B813"
60-69 ans;hospitalisations;05-04-2020;99;6040;"#EEA918"
60-69 ans;hospitalisations;12-04-2020;100;6100;"#EEA918"
60-69 ans;hospitalisations;19-04-2020;89;5403;"#EEA918"
60-69 ans;hospitalisations;26-04-2020;77;4676;"#ED9D1D"
60-69 ans;hospitalisations;03-05-2020;68;4160;"#ED9D1D"
60-69 ans;hospitalisations;10-05-2020;59;3612;"#EC9221"
60-69 ans;hospitalisations;17-05-2020;51;3125;"#EC9221"
60-69 ans;hospitalisations;24-05-2020;46;2780;"#EB8626"
60-69 ans;hospitalisations;31-05-2020;38;2322;"#EB8626"
60-69 ans;hospitalisations;07-06-2020;34;2050;"#EB8626"
60-69 ans;hospitalisations;14-06-2020;29;1799;"#EA7A2A"
60-69 ans;hospitalisations;21-06-2020;27;1660;"#EA7A2A"
60-69 ans;hospitalisations;28-06-2020;24;1486;"#E96F2E"
60-69 ans;hospitalisations;05-07-2020;22;1350;"#E96F2E"
60-69 ans;hospitalisations;12-07-2020;19;1174;"#E96F2E"
