name;category;date;y;z;color
0-9 ans;soins intensifs & réanimations;22-03-2020;12;3;"#f1c40f"
0-9 ans;soins intensifs & réanimations;29-03-2020;32;8;"#F0B813"
0-9 ans;soins intensifs & réanimations;05-04-2020;100;25;"#F0B813"
0-9 ans;soins intensifs & réanimations;12-04-2020;72;18;"#F0B813"
0-9 ans;soins intensifs & réanimations;19-04-2020;96;24;"#F0B813"
0-9 ans;soins intensifs & réanimations;26-04-2020;80;20;"#EEA918"
0-9 ans;soins intensifs & réanimations;03-05-2020;88;22;"#EEA918"
0-9 ans;soins intensifs & réanimations;10-05-2020;48;12;"#EEA918"
0-9 ans;soins intensifs & réanimations;17-05-2020;32;8;"#EEA918"
0-9 ans;soins intensifs & réanimations;24-05-2020;36;9;"#EEA918"
0-9 ans;soins intensifs & réanimations;31-05-2020;28;7;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;07-06-2020;32;8;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;14-06-2020;20;5;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;21-06-2020;4;1;"#EC9221"
0-9 ans;soins intensifs & réanimations;28-06-2020;4;1;"#EC9221"
0-9 ans;soins intensifs & réanimations;05-07-2020;8;2;"#EC9221"
0-9 ans;soins intensifs & réanimations;12-07-2020;16;4;"#EC9221"
0-9 ans;soins intensifs & réanimations;19-07-2020;16;4;"#EB8626"
0-9 ans;soins intensifs & réanimations;26-07-2020;12;3;"#EB8626"
0-9 ans;soins intensifs & réanimations;02-08-2020;12;3;"#EB8626"
0-9 ans;soins intensifs & réanimations;09-08-2020;24;6;"#EB8626"
0-9 ans;soins intensifs & réanimations;16-08-2020;20;5;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;23-08-2020;16;4;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;30-08-2020;24;6;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;06-09-2020;24;6;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;13-09-2020;16;4;"#E96F2E"
0-9 ans;soins intensifs & réanimations;20-09-2020;24;6;"#E96F2E"
0-9 ans;soins intensifs & réanimations;27-09-2020;32;8;"#E96F2E"
0-9 ans;soins intensifs & réanimations;04-10-2020;20;5;"#E96F2E"
0-9 ans;soins intensifs & réanimations;11-10-2020;16;4;"#E86333"
0-9 ans;soins intensifs & réanimations;18-10-2020;40;10;"#E86333"
0-9 ans;soins intensifs & réanimations;25-10-2020;60;15;"#E86333"
0-9 ans;soins intensifs & réanimations;01-11-2020;68;17;"#E86333"
0-9 ans;soins intensifs & réanimations;08-11-2020;68;17;"#E75737"
0-9 ans;soins intensifs & réanimations;15-11-2020;56;14;"#E75737"
0-9 ans;soins intensifs & réanimations;22-11-2020;44;11;"#E75737"
0-9 ans;soins intensifs & réanimations;29-11-2020;20;5;"#ffffff"
0-9 ans;soins intensifs & réanimations;06-12-2020;28;7;"#3498db"
10-19 ans;soins intensifs & réanimations;22-03-2020;12;3;"#f1c40f"
10-19 ans;soins intensifs & réanimations;29-03-2020;31;8;"#F0B813"
10-19 ans;soins intensifs & réanimations;05-04-2020;69;18;"#F0B813"
10-19 ans;soins intensifs & réanimations;12-04-2020;77;20;"#F0B813"
10-19 ans;soins intensifs & réanimations;19-04-2020;69;18;"#F0B813"
10-19 ans;soins intensifs & réanimations;26-04-2020;73;19;"#EEA918"
10-19 ans;soins intensifs & réanimations;03-05-2020;100;26;"#EEA918"
10-19 ans;soins intensifs & réanimations;10-05-2020;69;18;"#EEA918"
10-19 ans;soins intensifs & réanimations;17-05-2020;50;13;"#EEA918"
10-19 ans;soins intensifs & réanimations;24-05-2020;54;14;"#EEA918"
10-19 ans;soins intensifs & réanimations;31-05-2020;31;8;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;07-06-2020;23;6;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;14-06-2020;23;6;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;21-06-2020;23;6;"#EC9221"
10-19 ans;soins intensifs & réanimations;28-06-2020;19;5;"#EC9221"
10-19 ans;soins intensifs & réanimations;05-07-2020;15;4;"#EC9221"
10-19 ans;soins intensifs & réanimations;12-07-2020;8;2;"#EC9221"
10-19 ans;soins intensifs & réanimations;19-07-2020;12;3;"#EB8626"
10-19 ans;soins intensifs & réanimations;26-07-2020;4;1;"#EB8626"
10-19 ans;soins intensifs & réanimations;02-08-2020;4;1;"#EB8626"
10-19 ans;soins intensifs & réanimations;09-08-2020;12;3;"#EB8626"
10-19 ans;soins intensifs & réanimations;16-08-2020;4;1;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;23-08-2020;8;2;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;30-08-2020;4;1;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;06-09-2020;12;3;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;13-09-2020;4;1;"#E96F2E"
10-19 ans;soins intensifs & réanimations;20-09-2020;4;1;"#E96F2E"
10-19 ans;soins intensifs & réanimations;27-09-2020;4;1;"#E96F2E"
10-19 ans;soins intensifs & réanimations;04-10-2020;15;4;"#E96F2E"
10-19 ans;soins intensifs & réanimations;11-10-2020;15;4;"#E86333"
10-19 ans;soins intensifs & réanimations;18-10-2020;31;8;"#E86333"
10-19 ans;soins intensifs & réanimations;25-10-2020;35;9;"#E86333"
10-19 ans;soins intensifs & réanimations;01-11-2020;23;6;"#E86333"
10-19 ans;soins intensifs & réanimations;08-11-2020;27;7;"#E75737"
10-19 ans;soins intensifs & réanimations;15-11-2020;35;9;"#E75737"
10-19 ans;soins intensifs & réanimations;22-11-2020;42;11;"#E75737"
10-19 ans;soins intensifs & réanimations;29-11-2020;58;15;"#ffffff"
10-19 ans;soins intensifs & réanimations;06-12-2020;50;13;"#3498db"
20-29 ans;soins intensifs & réanimations;22-03-2020;27;17;"#f1c40f"
20-29 ans;soins intensifs & réanimations;29-03-2020;70;44;"#F0B813"
