name;category;date;y;z;color
h1-hosp-%max;France;22-03-2020;22;6954;"#f1c40f"
h1-hosp-%max;France;29-03-2020;61;19311;"#f1c40f"
h1-hosp-%max;France;05-04-2020;90,8;28747;"#F0B813"
h1-hosp-%max;France;12-04-2020;100;31665;"#F0B813"
h1-hosp-%max;France;19-04-2020;96,3;30486;"#EEA918"
h1-hosp-%max;France;26-04-2020;88,8;28114;"#EEA918"
h1-hosp-%max;France;03-05-2020;81,3;25739;"#ED9D1D"
h1-hosp-%max;France;10-05-2020;71,1;22502;"#ED9D1D"
h1-hosp-%max;France;17-05-2020;61;19302;"#EC9221"
h1-hosp-%max;France;24-05-2020;54,1;17129;"#EC9221"
h1-hosp-%max;France;31-05-2020;45,1;14271;"#EB8626"
h1-hosp-%max;France;07-06-2020;39,2;12415;"#EB8626"
h1-hosp-%max;France;14-06-2020;34,2;10836;"#EB8626"
h1-hosp-%max;France;21-06-2020;30,9;9778;"#EA7A2A"
h1-hosp-%max;France;28-06-2020;27,6;8727;"#EA7A2A"
h1-hosp-%max;France;05-07-2020;24,8;7863;"#E96F2E"
h1-hosp-%max;France;12-07-2020;22,1;6991;"#E96F2E"
h1-hosp-%max;France;19-07-2020;20,8;6583;"#E86333"
h1-hosp-%max;France;26-07-2020;17,8;5640;"#E86333"
h1-hosp-%max;France;02-08-2020;16,4;5188;"#E75737"
h1-hosp-%max;France;09-08-2020;15,8;4992;"#ffffff"
h1-hosp-%max;France;16-08-2020;15,2;4820;"#3498db"
h1-rea-%max;France;22-03-2020;24,4;1674;"#f1c40f"
h1-rea-%max;France;29-03-2020;66,9;4592;"#f1c40f"
h1-rea-%max;France;05-04-2020;100;6859;"#F0B813"
h1-rea-%max;France;12-04-2020;97,9;6714;"#F0B813"
h1-rea-%max;France;19-04-2020;82,3;5644;"#EEA918"
h1-rea-%max;France;26-04-2020;67;4598;"#EEA918"
h1-rea-%max;France;03-05-2020;54,8;3762;"#ED9D1D"
h1-rea-%max;France;10-05-2020;39,8;2728;"#ED9D1D"
h1-rea-%max;France;17-05-2020;29,8;2047;"#EC9221"
h1-rea-%max;France;24-05-2020;23,6;1618;"#EC9221"
h1-rea-%max;France;31-05-2020;18,8;1287;"#EB8626"
h1-rea-%max;France;07-06-2020;14,9;1024;"#EB8626"
h1-rea-%max;France;14-06-2020;12,3;841;"#EB8626"
h1-rea-%max;France;21-06-2020;10;687;"#EA7A2A"
h1-rea-%max;France;28-06-2020;8,7;594;"#EA7A2A"
h1-rea-%max;France;05-07-2020;7,6;521;"#E96F2E"
h1-rea-%max;France;12-07-2020;6,9;473;"#E96F2E"
h1-rea-%max;France;19-07-2020;6,5;448;"#E86333"
h1-rea-%max;France;26-07-2020;5,4;367;"#E86333"
h1-rea-%max;France;02-08-2020;5;345;"#E75737"
h1-rea-%max;France;09-08-2020;5,4;368;"#ffffff"
h1-rea-%max;France;16-08-2020;5,1;353;"#3498db"
h1-dc-%max;France;22-03-2020;0;;"#f1c40f"
h1-dc-%max;France;29-03-2020;45,6;5014;"#f1c40f"
h1-dc-%max;France;05-04-2020;82,3;9051;"#F0B813"
h1-dc-%max;France;12-04-2020;100;11003;"#F0B813"
h1-dc-%max;France;19-04-2020;85,3;9387;"#EEA918"
h1-dc-%max;France;26-04-2020;75,7;8324;"#EEA918"
h1-dc-%max;France;03-05-2020;53,4;5880;"#ED9D1D"
h1-dc-%max;France;10-05-2020;49,4;5432;"#ED9D1D"
h1-dc-%max;France;17-05-2020;45,4;4996;"#EC9221"
h1-dc-%max;France;24-05-2020;30,9;3404;"#EC9221"
h1-dc-%max;France;31-05-2020;34;3738;"#EB8626"
h1-dc-%max;France;07-06-2020;22,6;2486;"#EB8626"
h1-dc-%max;France;14-06-2020;18,3;2017;"#EB8626"
h1-dc-%max;France;21-06-2020;13,8;1513;"#EA7A2A"
h1-dc-%max;France;28-06-2020;13,4;1471;"#EA7A2A"
h1-dc-%max;France;05-07-2020;12,2;1346;"#E96F2E"
h1-dc-%max;France;12-07-2020;11,9;1307;"#E96F2E"
h1-dc-%max;France;19-07-2020;8,2;898;"#E86333"
h1-dc-%max;France;26-07-2020;14,2;1563;"#E86333"
h1-dc-%max;France;02-08-2020;9,8;1082;"#E75737"
h1-dc-%max;France;09-08-2020;7,8;857;"#ffffff"
h1-dc-%max;France;16-08-2020;9,3;1023;"#3498db"
