name;category;date;y;z;color
0-9 ans;hospitalisations;22-03-2020;33;37;"#f1c40f"
0-9 ans;hospitalisations;29-03-2020;60;67;"#f1c40f"
0-9 ans;hospitalisations;05-04-2020;76;84;"#f1c40f"
0-9 ans;hospitalisations;12-04-2020;74;82;"#f1c40f"
0-9 ans;hospitalisations;19-04-2020;86;95;"#F0B813"
0-9 ans;hospitalisations;26-04-2020;78;87;"#F0B813"
0-9 ans;hospitalisations;03-05-2020;68;76;"#F0B813"
0-9 ans;hospitalisations;10-05-2020;58;64;"#F0B813"
0-9 ans;hospitalisations;17-05-2020;47;52;"#F0B813"
0-9 ans;hospitalisations;24-05-2020;41;45;"#F0B813"
0-9 ans;hospitalisations;31-05-2020;34;38;"#F0B813"
0-9 ans;hospitalisations;07-06-2020;32;36;"#EEA918"
0-9 ans;hospitalisations;14-06-2020;28;31;"#EEA918"
0-9 ans;hospitalisations;21-06-2020;24;27;"#EEA918"
0-9 ans;hospitalisations;28-06-2020;23;26;"#EEA918"
0-9 ans;hospitalisations;05-07-2020;16;18;"#EEA918"
0-9 ans;hospitalisations;12-07-2020;24;27;"#EEA918"
0-9 ans;hospitalisations;19-07-2020;22;24;"#ED9D1D"
0-9 ans;hospitalisations;26-07-2020;25;28;"#ED9D1D"
0-9 ans;hospitalisations;02-08-2020;23;26;"#ED9D1D"
0-9 ans;hospitalisations;09-08-2020;24;27;"#ED9D1D"
0-9 ans;hospitalisations;16-08-2020;21;23;"#ED9D1D"
0-9 ans;hospitalisations;23-08-2020;23;25;"#ED9D1D"
0-9 ans;hospitalisations;30-08-2020;26;29;"#ED9D1D"
0-9 ans;hospitalisations;06-09-2020;31;34;"#EC9221"
0-9 ans;hospitalisations;13-09-2020;26;29;"#EC9221"
0-9 ans;hospitalisations;20-09-2020;31;34;"#EC9221"
0-9 ans;hospitalisations;27-09-2020;30;33;"#EC9221"
0-9 ans;hospitalisations;04-10-2020;23;26;"#EC9221"
0-9 ans;hospitalisations;11-10-2020;23;26;"#EC9221"
0-9 ans;hospitalisations;18-10-2020;45;50;"#EB8626"
0-9 ans;hospitalisations;25-10-2020;70;78;"#EB8626"
0-9 ans;hospitalisations;01-11-2020;99;110;"#EB8626"
0-9 ans;hospitalisations;08-11-2020;100;111;"#EB8626"
0-9 ans;hospitalisations;15-11-2020;78;87;"#EB8626"
0-9 ans;hospitalisations;22-11-2020;54;60;"#EB8626"
0-9 ans;hospitalisations;29-11-2020;49;54;"#EB8626"
0-9 ans;hospitalisations;06-12-2020;41;45;"#EA7A2A"
0-9 ans;hospitalisations;13-12-2020;28;31;"#EA7A2A"
0-9 ans;hospitalisations;20-12-2020;34;38;"#EA7A2A"
0-9 ans;hospitalisations;27-12-2020;30;33;"#EA7A2A"
0-9 ans;hospitalisations;03-01-2021;30;33;"#EA7A2A"
0-9 ans;hospitalisations;10-01-2021;26;29;"#EA7A2A"
0-9 ans;hospitalisations;17-01-2021;25;28;"#EA7A2A"
0-9 ans;hospitalisations;24-01-2021;24;27;"#E96F2E"
0-9 ans;hospitalisations;31-01-2021;32;36;"#E96F2E"
