name;category;date;y;z;color
h1-hosp-%max;France;22-03-2020;21;6954;"#f1c40f"
h1-hosp-%max;France;29-03-2020;58,4;19311;"#f1c40f"
h1-hosp-%max;France;05-04-2020;87;28747;"#f1c40f"
h1-hosp-%max;France;12-04-2020;95,8;31665;"#f1c40f"
h1-hosp-%max;France;19-04-2020;92,2;30486;"#f1c40f"
h1-hosp-%max;France;26-04-2020;85,1;28114;"#f1c40f"
h1-hosp-%max;France;03-05-2020;77,9;25739;"#f1c40f"
h1-hosp-%max;France;10-05-2020;68,1;22502;"#f1c40f"
h1-hosp-%max;France;17-05-2020;58,4;19302;"#f1c40f"
h1-hosp-%max;France;24-05-2020;51,8;17129;"#f1c40f"
h1-hosp-%max;France;31-05-2020;43,2;14271;"#f1c40f"
h1-hosp-%max;France;07-06-2020;37,6;12415;"#F0B813"
h1-hosp-%max;France;14-06-2020;32,8;10836;"#F0B813"
h1-hosp-%max;France;21-06-2020;29,6;9778;"#F0B813"
h1-hosp-%max;France;28-06-2020;26,4;8727;"#F0B813"
h1-hosp-%max;France;05-07-2020;23,8;7863;"#F0B813"
h1-hosp-%max;France;12-07-2020;21,2;6991;"#F0B813"
h1-hosp-%max;France;19-07-2020;19,9;6583;"#F0B813"
h1-hosp-%max;France;26-07-2020;17,1;5640;"#F0B813"
h1-hosp-%max;France;02-08-2020;15,7;5188;"#F0B813"
h1-hosp-%max;France;09-08-2020;15,1;4992;"#F0B813"
h1-hosp-%max;France;16-08-2020;14,6;4820;"#F0B813"
h1-hosp-%max;France;23-08-2020;14,2;4683;"#EEA918"
h1-hosp-%max;France;30-08-2020;13,7;4517;"#EEA918"
h1-hosp-%max;France;06-09-2020;14,2;4697;"#EEA918"
h1-hosp-%max;France;13-09-2020;15,8;5228;"#EEA918"
h1-hosp-%max;France;20-09-2020;16,2;5356;"#EEA918"
h1-hosp-%max;France;27-09-2020;18,9;6235;"#EEA918"
h1-hosp-%max;France;04-10-2020;21,1;6964;"#EEA918"
h1-hosp-%max;France;11-10-2020;24,9;8231;"#EEA918"
h1-hosp-%max;France;18-10-2020;33;10897;"#EEA918"
h1-hosp-%max;France;25-10-2020;49,8;16454;"#EEA918"
h1-hosp-%max;France;01-11-2020;72,6;24008;"#EEA918"
h1-hosp-%max;France;08-11-2020;91,4;30217;"#ED9D1D"
h1-hosp-%max;France;15-11-2020;100;33050;"#ED9D1D"
h1-hosp-%max;France;22-11-2020;95,4;31522;"#ED9D1D"
h1-hosp-%max;France;29-11-2020;85,6;28284;"#ED9D1D"
h1-hosp-%max;France;06-12-2020;79,5;26262;"#ED9D1D"
h1-hosp-%max;France;13-12-2020;76,3;25207;"#ED9D1D"
h1-hosp-%max;France;20-12-2020;75,5;24961;"#ED9D1D"
h1-hosp-%max;France;27-12-2020;74,5;24620;"#ED9D1D"
h1-hosp-%max;France;03-01-2021;75;24780;"#ED9D1D"
h1-hosp-%max;France;10-01-2021;74,2;24526;"#ED9D1D"
h1-hosp-%max;France;17-01-2021;76,4;25235;"#ED9D1D"
h1-hosp-%max;France;24-01-2021;79,7;26357;"#EC9221"
